Shipment_ID,Supplier_ID,Transport_Mode,Distance_KM,Weight_Tons,Order_Qty,Urgency
SHP_00091,SUP_038,Air,4358,9.81,587,Low
SHP_00092,SUP_045,Rail,791,16.92,859,Low
SHP_00093,SUP_044,Rail,131,4.06,529,Standard
SHP_00094,SUP_032,Rail,636,13.18,335,Standard
SHP_00095,SUP_013,Rail,302,9.99,852,Low
SHP_00096,SUP_014,Road,1150,18.37,219,Critical
SHP_00097,SUP_017,Road,1550,14.65,458,Low
SHP_00098,SUP_027,Road,1410,4.04,802,Standard
SHP_00099,SUP_040,Air,5717,11.81,862,Standard
SHP_00100,SUP_020,Air,7664,5.88,581,Critical
SHP_00101,SUP_002,Air,827,5.58,404,Critical
SHP_00102,SUP_013,Rail,340,8.65,454,Critical
SHP_00103,SUP_031,Road,1344,12.82,724,Standard
SHP_00104,SUP_001,Road,1051,9.77,770,Critical
SHP_00105,SUP_003,Ocean,3518,5.83,576,Critical
SHP_00106,SUP_035,Road,1169,12.44,970,Low
SHP_00107,SUP_042,Road,1428,3.78,602,Low
SHP_00108,SUP_050,Rail,1892,7.19,985,Standard
SHP_00109,SUP_020,Road,967,19.49,566,Critical
SHP_00110,SUP_009,Air,3843,13.72,135,Standard
SHP_00111,SUP_032,Road,1921,19,809,Critical
SHP_00112,SUP_008,Road,1904,18.6,619,Low
SHP_00113,SUP_047,Ocean,4494,17.86,760,Low
SHP_00114,SUP_023,Ocean,7263,18.28,658,Standard
SHP_00115,SUP_026,Rail,103,12.12,478,Critical
SHP_00116,SUP_041,Ocean,1243,7.66,205,Low
SHP_00117,SUP_002,Ocean,3572,19.92,960,Critical
SHP_00118,SUP_015,Road,1740,9.46,870,Critical
SHP_00119,SUP_020,Ocean,733,16.27,495,Standard
SHP_00120,SUP_001,Road,851,4.04,605,Standard
SHP_00121,SUP_044,Ocean,2042,15.32,569,Low
SHP_00122,SUP_044,Ocean,1581,19,431,Critical
SHP_00123,SUP_011,Road,335,8.22,529,Low
SHP_00124,SUP_006,Air,5506,17.59,126,Standard
SHP_00125,SUP_007,Road,1164,18.77,989,Standard
SHP_00126,SUP_034,Road,1360,3.15,437,Standard
SHP_00127,SUP_037,Ocean,6568,19.72,752,Low
SHP_00128,SUP_042,Ocean,2914,2.78,830,Critical
SHP_00129,SUP_039,Air,507,17.85,203,Standard
SHP_00130,SUP_033,Road,1054,14.85,735,Low
SHP_00131,SUP_016,Road,1382,4.99,259,Critical
SHP_00132,SUP_011,Road,1773,14.2,166,Standard
SHP_00133,SUP_016,Air,1573,13.26,403,Standard
SHP_00134,SUP_005,Road,1532,19.02,388,Critical
SHP_00135,SUP_026,Ocean,3424,6.19,671,Standard
SHP_00136,SUP_047,Road,445,1.08,451,Low
SHP_00137,SUP_014,Road,980,2.98,407,Critical
SHP_00138,SUP_046,Rail,145,14.01,906,Low
SHP_00139,SUP_027,Road,538,10.55,586,Low
SHP_00140,SUP_027,Ocean,3386,11.23,992,Standard
SHP_00141,SUP_020,Ocean,6845,17.64,960,Critical
SHP_00142,SUP_017,Road,1387,17.26,181,Critical
SHP_00143,SUP_007,Road,1484,3.47,660,Standard
SHP_00144,SUP_020,Road,777,7.21,365,Standard
SHP_00145,SUP_008,Road,520,10.58,624,Critical
SHP_00146,SUP_009,Air,1798,18.82,276,Standard
SHP_00147,SUP_018,Rail,558,4.66,880,Critical
SHP_00148,SUP_045,Road,1795,7.13,780,Critical
SHP_00149,SUP_023,Air,4480,14.84,997,Low
SHP_00150,SUP_006,Road,1398,18.36,794,Standard
SHP_00151,SUP_025,Ocean,4995,3.53,219,Standard
SHP_00152,SUP_044,Road,384,3.09,790,Critical
SHP_00153,SUP_039,Air,2184,9.22,446,Critical
SHP_00154,SUP_041,Road,1193,7.03,485,Low
SHP_00155,SUP_013,Ocean,1067,11.15,936,Critical
SHP_00156,SUP_010,Road,116,13.35,589,Standard
SHP_00157,SUP_009,Rail,205,2.17,365,Critical
SHP_00158,SUP_007,Rail,933,10.23,244,Low
SHP_00159,SUP_026,Road,1873,9.46,351,Standard
SHP_00160,SUP_030,Rail,1936,15.92,140,Critical
SHP_00161,SUP_044,Road,880,10.74,758,Standard
SHP_00162,SUP_023,Rail,1987,2.82,300,Critical
SHP_00163,SUP_037,Rail,1143,1.16,870,Low
SHP_00164,SUP_036,Road,1012,13.81,964,Standard
SHP_00165,SUP_008,Air,7315,11.54,830,Low
SHP_00166,SUP_029,Ocean,1963,17.31,159,Low
SHP_00167,SUP_010,Road,1937,17.62,517,Low
SHP_00168,SUP_003,Road,1240,3.19,354,Critical
SHP_00169,SUP_041,Air,3511,7.68,941,Standard
SHP_00170,SUP_007,Rail,279,1.13,428,Standard
SHP_00171,SUP_037,Rail,625,11.21,800,Low
SHP_00172,SUP_034,Air,7937,11.31,340,Low
SHP_00173,SUP_019,Road,620,4.35,119,Low
SHP_00174,SUP_001,Road,1375,4.76,694,Low
SHP_00175,SUP_019,Rail,1805,2.91,871,Low
SHP_00176,SUP_016,Road,1361,18.35,322,Critical
SHP_00177,SUP_022,Rail,1929,10.46,544,Standard
SHP_00178,SUP_033,Road,1926,19.24,799,Critical
SHP_00179,SUP_008,Ocean,3389,10.86,845,Critical
SHP_00180,SUP_026,Air,5115,13.96,899,Low
SHP_00181,SUP_005,Road,1294,16.87,147,Critical
SHP_00182,SUP_013,Air,1609,8.32,683,Critical
SHP_00183,SUP_050,Ocean,2255,1.27,361,Low
SHP_00184,SUP_031,Ocean,3421,8.78,776,Standard
SHP_00185,SUP_021,Road,1189,2.28,544,Standard
SHP_00186,SUP_003,Rail,1650,2.24,827,Low
SHP_00187,SUP_033,Ocean,1932,13.14,404,Low
SHP_00188,SUP_046,Rail,983,6.17,863,Critical
SHP_00189,SUP_007,Road,1231,2.32,525,Standard
SHP_00190,SUP_023,Road,981,5.92,988,Standard
SHP_00191,SUP_043,Air,4559,13.67,931,Critical
SHP_00192,SUP_041,Ocean,4474,9.3,714,Critical
SHP_00193,SUP_048,Ocean,7554,9.18,122,Critical
SHP_00194,SUP_004,Rail,599,12.4,430,Critical
SHP_00195,SUP_039,Road,1129,16.97,927,Standard
SHP_00196,SUP_048,Road,476,4.65,664,Low
SHP_00197,SUP_048,Rail,1326,6.38,264,Low
SHP_00198,SUP_043,Ocean,1895,19.65,734,Low
SHP_00199,SUP_031,Ocean,5710,4.99,126,Standard
SHP_00200,SUP_007,Rail,308,4.27,331,Low
SHP_00201,SUP_019,Rail,168,7.39,792,Critical
SHP_00202,SUP_002,Air,3136,1.37,133,Critical
SHP_00203,SUP_041,Road,928,6.21,153,Standard
SHP_00204,SUP_010,Ocean,7974,18.16,757,Standard
SHP_00205,SUP_023,Rail,674,17.71,707,Low
SHP_00206,SUP_026,Air,4361,3.78,339,Standard
SHP_00207,SUP_025,Air,2227,15.74,842,Low
SHP_00208,SUP_008,Rail,1436,14.6,728,Low
SHP_00209,SUP_004,Air,7191,5.71,409,Low
SHP_00210,SUP_041,Road,1699,8.17,562,Critical
SHP_00211,SUP_004,Road,1776,8.06,252,Low
SHP_00212,SUP_002,Rail,1559,14.33,779,Low
SHP_00213,SUP_011,Rail,1426,3.37,647,Critical
SHP_00214,SUP_021,Road,1795,13.5,635,Critical
SHP_00215,SUP_020,Rail,1657,4.97,495,Low
SHP_00216,SUP_005,Road,1260,2.84,999,Standard
SHP_00217,SUP_014,Road,628,18.79,648,Low
SHP_00218,SUP_031,Rail,168,12.69,303,Low
SHP_00219,SUP_045,Rail,502,15.02,869,Critical
SHP_00220,SUP_001,Ocean,5696,18.18,885,Critical
SHP_00221,SUP_027,Rail,717,5.1,658,Low
SHP_00222,SUP_004,Rail,1094,15.93,663,Critical
SHP_00223,SUP_026,Air,4780,7.55,163,Standard
SHP_00224,SUP_037,Road,1499,3.3,117,Standard
SHP_00225,SUP_031,Road,1604,12.94,649,Critical
SHP_00226,SUP_011,Road,1705,5,179,Standard
SHP_00227,SUP_019,Ocean,6886,6.99,137,Low
SHP_00228,SUP_026,Road,1466,1.23,736,Critical
SHP_00229,SUP_025,Ocean,4091,3.83,507,Low
SHP_00230,SUP_021,Rail,1248,8.85,554,Standard
SHP_00231,SUP_023,Rail,311,4.86,599,Critical
SHP_00232,SUP_046,Road,1358,17.79,104,Low
SHP_00233,SUP_033,Rail,184,11.66,479,Low
SHP_00234,SUP_041,Road,1862,19.22,287,Standard
SHP_00235,SUP_041,Road,987,2.2,263,Standard
SHP_00236,SUP_046,Rail,1716,16,422,Critical
SHP_00237,SUP_012,Road,1300,16.12,171,Critical
SHP_00238,SUP_030,Air,1768,3.36,313,Low
SHP_00239,SUP_039,Rail,1123,2.61,408,Low
SHP_00240,SUP_013,Road,1984,16.48,151,Low
SHP_00241,SUP_029,Ocean,4140,18.45,652,Low
SHP_00242,SUP_005,Ocean,1548,9.49,684,Low
SHP_00243,SUP_024,Ocean,3678,18.9,886,Critical
SHP_00244,SUP_044,Road,1304,2.69,898,Critical
SHP_00245,SUP_047,Air,1225,9.99,357,Critical
SHP_00246,SUP_011,Ocean,3592,8.92,653,Low
SHP_00247,SUP_019,Road,1043,6.93,128,Low
SHP_00248,SUP_030,Ocean,5539,6.58,111,Standard
SHP_00249,SUP_004,Ocean,7547,6.85,975,Low
SHP_00250,SUP_033,Ocean,2809,4.13,706,Low
SHP_00251,SUP_040,Road,1284,19.7,852,Low
SHP_00252,SUP_011,Road,751,19.53,433,Critical
SHP_00253,SUP_035,Ocean,3260,14.05,140,Low
SHP_00254,SUP_035,Road,1537,13.94,379,Low
SHP_00255,SUP_033,Road,742,10.58,939,Critical
SHP_00256,SUP_036,Rail,1093,12.24,356,Critical
SHP_00257,SUP_016,Ocean,6450,16.38,694,Standard
SHP_00258,SUP_044,Rail,1089,17.28,286,Critical
SHP_00259,SUP_027,Rail,790,16.48,125,Standard
SHP_00260,SUP_039,Air,7636,16.83,416,Critical
SHP_00261,SUP_018,Rail,698,4.8,605,Low
SHP_00262,SUP_016,Ocean,5368,10.21,739,Critical
SHP_00263,SUP_042,Air,3915,16.27,546,Standard
SHP_00264,SUP_039,Road,1823,9.19,310,Critical
SHP_00265,SUP_032,Ocean,3819,18.84,919,Standard
SHP_00266,SUP_004,Rail,184,18.33,642,Standard
SHP_00267,SUP_040,Rail,435,6.73,407,Standard
SHP_00268,SUP_040,Rail,1045,17.33,844,Critical
SHP_00269,SUP_021,Road,640,7.07,413,Standard
SHP_00270,SUP_048,Road,1171,8.25,622,Critical
SHP_00271,SUP_012,Ocean,1886,3.12,912,Standard
SHP_00272,SUP_008,Ocean,3723,19.6,461,Critical
SHP_00273,SUP_011,Ocean,1555,3.04,788,Critical
SHP_00274,SUP_001,Ocean,1903,6.12,847,Standard
SHP_00275,SUP_023,Road,165,4.41,767,Low
SHP_00276,SUP_024,Road,879,13.97,168,Critical
SHP_00277,SUP_047,Rail,1513,8.01,543,Low
SHP_00278,SUP_018,Rail,1539,12.04,790,Low
SHP_00279,SUP_035,Rail,1831,1.07,589,Low
SHP_00280,SUP_049,Rail,1678,2.01,716,Low
SHP_00281,SUP_026,Ocean,1646,7.78,558,Low
SHP_00282,SUP_029,Road,744,14.99,570,Standard
SHP_00283,SUP_035,Road,750,18.29,122,Low
SHP_00284,SUP_040,Air,3038,7.68,879,Low
SHP_00285,SUP_008,Rail,1290,2.01,461,Standard
SHP_00286,SUP_035,Air,3554,2.32,130,Standard
SHP_00287,SUP_023,Road,280,16.75,519,Critical
SHP_00288,SUP_040,Road,1029,3.67,371,Critical
SHP_00289,SUP_045,Road,1868,13.11,819,Standard
SHP_00290,SUP_048,Rail,1456,1.61,148,Critical
SHP_00291,SUP_050,Air,1601,14.79,379,Critical
SHP_00292,SUP_044,Air,7102,2.35,882,Low
SHP_00293,SUP_013,Ocean,1644,5.04,743,Standard
SHP_00294,SUP_026,Road,718,17.5,384,Low
SHP_00295,SUP_036,Air,4048,10.21,898,Critical
SHP_00296,SUP_009,Road,1725,18.2,980,Critical
SHP_00297,SUP_009,Rail,1405,11.82,533,Standard
SHP_00298,SUP_038,Road,1659,17.74,653,Low
SHP_00299,SUP_020,Rail,1521,2.88,951,Standard
SHP_00300,SUP_043,Air,2706,12.05,777,Critical
SHP_00301,SUP_018,Air,1879,3.4,762,Low
SHP_00302,SUP_040,Road,1617,15.39,137,Low
SHP_00303,SUP_026,Road,818,18.15,969,Standard
SHP_00304,SUP_006,Rail,1858,5.93,386,Critical
SHP_00305,SUP_005,Rail,1074,13.41,533,Critical
SHP_00306,SUP_026,Ocean,1684,19.89,980,Standard
SHP_00307,SUP_006,Road,111,7.69,999,Critical
SHP_00308,SUP_031,Road,196,1.74,238,Critical
SHP_00309,SUP_007,Rail,363,7.76,348,Standard
SHP_00310,SUP_027,Road,1371,16.47,644,Low
SHP_00311,SUP_047,Road,1892,11.6,352,Low
SHP_00312,SUP_034,Air,7398,9.66,535,Low
SHP_00313,SUP_028,Air,1924,15.12,347,Critical
SHP_00314,SUP_007,Ocean,4082,1.52,552,Low
SHP_00315,SUP_029,Ocean,4369,4.44,401,Standard
SHP_00316,SUP_010,Rail,1115,11.57,155,Critical
SHP_00317,SUP_008,Road,420,11.86,566,Critical
SHP_00318,SUP_018,Road,1272,18.94,763,Low
SHP_00319,SUP_019,Road,312,10.41,309,Standard
SHP_00320,SUP_045,Road,1282,3.53,507,Critical
SHP_00321,SUP_035,Road,589,15.55,926,Critical
SHP_00322,SUP_031,Rail,545,4.92,225,Low
SHP_00323,SUP_050,Rail,1607,16.7,228,Critical
SHP_00324,SUP_008,Road,217,12.41,142,Critical
SHP_00325,SUP_008,Ocean,5709,5.91,179,Standard
SHP_00326,SUP_040,Rail,414,11.83,604,Standard
SHP_00327,SUP_039,Rail,1365,19.72,460,Standard
SHP_00328,SUP_046,Rail,1973,14.25,897,Critical
SHP_00329,SUP_040,Road,1914,7.12,101,Critical
SHP_00330,SUP_040,Road,1725,8.47,824,Standard
SHP_00331,SUP_011,Road,1913,12.79,121,Critical
SHP_00332,SUP_019,Rail,111,14.11,786,Critical
SHP_00333,SUP_014,Air,7526,13.24,719,Low
SHP_00334,SUP_033,Air,6129,4.72,108,Critical
SHP_00335,SUP_020,Air,5877,6,607,Standard
SHP_00336,SUP_022,Air,2743,10.79,942,Low
SHP_00337,SUP_001,Ocean,5952,14.18,113,Standard
SHP_00338,SUP_047,Rail,311,15.6,368,Critical
SHP_00339,SUP_022,Road,913,14.76,752,Low
SHP_00340,SUP_001,Air,4386,9.18,724,Critical
SHP_00341,SUP_028,Road,1280,1.4,521,Critical
SHP_00342,SUP_031,Road,361,18.98,970,Critical
SHP_00343,SUP_046,Road,1747,19.38,595,Low
SHP_00344,SUP_046,Road,1461,13.49,606,Critical
SHP_00345,SUP_025,Road,668,14.42,657,Standard
SHP_00346,SUP_004,Rail,918,19.29,474,Standard
SHP_00347,SUP_004,Rail,933,3.52,562,Standard
SHP_00348,SUP_012,Air,5580,8.91,724,Standard
SHP_00349,SUP_026,Road,821,4.48,1000,Low
SHP_00350,SUP_030,Rail,1545,13.07,209,Low
SHP_00351,SUP_004,Road,1838,2.17,771,Standard
SHP_00352,SUP_046,Ocean,1131,18.01,505,Standard
SHP_00353,SUP_021,Rail,1931,1.04,959,Critical
SHP_00354,SUP_039,Road,1870,4.59,129,Standard
SHP_00355,SUP_013,Air,4306,12.49,554,Standard
SHP_00356,SUP_007,Rail,134,19.36,218,Low
SHP_00357,SUP_044,Air,3307,10.7,227,Standard
SHP_00358,SUP_045,Rail,535,8.49,737,Critical
SHP_00359,SUP_025,Ocean,3718,18.47,696,Low
SHP_00360,SUP_032,Rail,1555,9.55,294,Low
SHP_00361,SUP_029,Road,1492,6.38,796,Low
SHP_00362,SUP_006,Rail,1478,2.84,631,Critical
SHP_00363,SUP_002,Road,975,15.64,620,Standard
SHP_00364,SUP_022,Road,1506,14.09,327,Standard
SHP_00365,SUP_005,Ocean,3472,10.19,621,Critical
SHP_00366,SUP_028,Road,665,11.33,621,Standard
SHP_00367,SUP_043,Ocean,4000,4.15,893,Critical
SHP_00368,SUP_043,Ocean,7618,16.48,854,Low
SHP_00369,SUP_017,Road,1109,14.43,833,Critical
SHP_00370,SUP_036,Air,7636,11.62,985,Standard
SHP_00371,SUP_019,Air,3073,7.71,128,Standard
SHP_00372,SUP_003,Air,2631,2.97,270,Critical
SHP_00373,SUP_011,Air,5153,1.97,788,Critical
SHP_00374,SUP_004,Rail,519,18.27,181,Low
SHP_00375,SUP_009,Air,5616,6.78,207,Standard
SHP_00376,SUP_003,Road,1868,8.55,893,Critical
SHP_00377,SUP_021,Ocean,3351,14.28,943,Standard
SHP_00378,SUP_030,Air,6814,4.74,509,Standard
SHP_00379,SUP_043,Ocean,2681,13.67,301,Standard
SHP_00380,SUP_037,Road,101,2.72,699,Low
SHP_00381,SUP_021,Air,7879,11.59,639,Critical
SHP_00382,SUP_023,Rail,552,9.77,995,Low
SHP_00383,SUP_046,Rail,1912,11.61,246,Low
SHP_00384,SUP_021,Ocean,5511,3.39,536,Standard
SHP_00385,SUP_018,Rail,464,3.48,853,Low
SHP_00386,SUP_012,Ocean,1681,5.14,960,Low
SHP_00387,SUP_019,Road,1494,13.44,590,Low
SHP_00388,SUP_040,Road,1650,19.3,855,Low
SHP_00389,SUP_040,Rail,928,18.02,962,Low
SHP_00390,SUP_050,Ocean,5399,9.18,741,Standard
SHP_00391,SUP_021,Ocean,898,7.55,107,Low
SHP_00392,SUP_010,Road,1861,7.43,579,Standard
SHP_00393,SUP_035,Road,1414,14.36,318,Critical
SHP_00394,SUP_049,Rail,792,8.43,976,Critical
SHP_00395,SUP_029,Road,1562,19.39,512,Standard
SHP_00396,SUP_036,Ocean,735,7.79,702,Low
SHP_00397,SUP_039,Ocean,4827,1.11,446,Standard
SHP_00398,SUP_021,Road,262,2.07,417,Standard
SHP_00399,SUP_048,Rail,749,4.81,917,Critical
SHP_00400,SUP_047,Rail,702,11.24,987,Critical
SHP_00401,SUP_012,Air,4172,16.85,685,Standard
SHP_00402,SUP_024,Ocean,7281,12.64,506,Low
SHP_00403,SUP_028,Road,102,13.72,798,Critical
SHP_00404,SUP_036,Ocean,2904,5.85,193,Critical
SHP_00405,SUP_010,Road,290,12.32,435,Critical
SHP_00406,SUP_030,Ocean,2595,2.32,348,Low
SHP_00407,SUP_028,Road,388,16.38,758,Standard
SHP_00408,SUP_007,Air,3382,19.48,401,Low
SHP_00409,SUP_028,Ocean,7082,3.42,417,Critical
SHP_00410,SUP_029,Air,6076,11.81,814,Low
SHP_00411,SUP_005,Road,1380,6.94,920,Standard
SHP_00412,SUP_027,Ocean,5855,18.89,137,Standard
SHP_00413,SUP_032,Ocean,1599,11.29,791,Critical
SHP_00414,SUP_039,Rail,1636,16.69,912,Low
SHP_00415,SUP_034,Rail,1362,1.33,357,Critical
SHP_00416,SUP_026,Road,641,4.07,787,Standard
SHP_00417,SUP_011,Road,1754,1.22,449,Low
SHP_00418,SUP_040,Road,413,7.95,595,Low
SHP_00419,SUP_020,Rail,1185,5.93,222,Low
SHP_00420,SUP_013,Rail,888,4.11,182,Critical
SHP_00421,SUP_028,Rail,221,18.92,912,Critical
SHP_00422,SUP_033,Rail,1294,9.74,209,Critical
SHP_00423,SUP_013,Air,5936,6.63,634,Critical
SHP_00424,SUP_034,Road,296,18.9,590,Low
SHP_00425,SUP_011,Air,7724,3.89,960,Low
SHP_00426,SUP_015,Road,1593,17.93,633,Standard
SHP_00427,SUP_001,Road,1799,13.5,778,Low
SHP_00428,SUP_042,Ocean,2400,14.5,515,Standard
SHP_00429,SUP_001,Road,1936,1.32,922,Low
SHP_00430,SUP_013,Air,1650,13.13,425,Standard
SHP_00431,SUP_025,Air,1560,1.13,123,Low
SHP_00432,SUP_001,Rail,315,15.59,349,Low
SHP_00433,SUP_005,Rail,519,11.05,604,Low
SHP_00434,SUP_036,Air,4227,2.43,409,Standard
SHP_00435,SUP_042,Air,585,1.81,415,Standard
SHP_00436,SUP_037,Rail,1097,15.08,814,Low
SHP_00437,SUP_008,Air,663,2.17,254,Critical
SHP_00438,SUP_014,Ocean,7436,13.75,569,Low
SHP_00439,SUP_046,Rail,224,11.92,791,Low
SHP_00440,SUP_043,Air,2462,9.36,965,Low
SHP_00441,SUP_023,Air,4031,19.2,729,Standard
SHP_00442,SUP_034,Ocean,1053,1.12,980,Low
SHP_00443,SUP_003,Road,991,11.78,342,Critical
SHP_00444,SUP_005,Road,453,14.54,987,Critical
SHP_00445,SUP_022,Ocean,6722,5.28,604,Low
SHP_00446,SUP_013,Ocean,4342,3.21,151,Standard
SHP_00447,SUP_012,Ocean,5224,2.95,306,Low
SHP_00448,SUP_019,Rail,638,10.81,884,Standard
SHP_00449,SUP_041,Road,901,13.78,508,Critical
SHP_00450,SUP_049,Air,7418,5.15,176,Low
SHP_00451,SUP_020,Rail,130,12.8,984,Critical
SHP_00452,SUP_004,Rail,475,11.15,473,Critical
SHP_00453,SUP_036,Road,1343,2.92,286,Standard
SHP_00454,SUP_008,Ocean,5854,10.32,428,Critical
SHP_00455,SUP_037,Air,2228,14.13,799,Critical
SHP_00456,SUP_002,Road,1032,12.96,685,Critical
SHP_00457,SUP_016,Air,4702,11.8,496,Low
SHP_00458,SUP_010,Road,382,18.99,509,Critical
SHP_00459,SUP_031,Air,4133,10.88,263,Low
SHP_00460,SUP_041,Air,7387,1.51,309,Critical
SHP_00461,SUP_017,Air,7642,3.86,418,Standard
SHP_00462,SUP_023,Rail,937,1.15,976,Critical
SHP_00463,SUP_019,Rail,998,4.33,591,Critical
SHP_00464,SUP_046,Rail,989,14.84,785,Low
SHP_00465,SUP_044,Ocean,6433,2.6,310,Critical
SHP_00466,SUP_017,Road,1698,16.1,613,Critical
SHP_00467,SUP_003,Road,1598,16.99,686,Low
SHP_00468,SUP_010,Ocean,3633,12.13,823,Low
SHP_00469,SUP_022,Road,1794,19.78,384,Low
SHP_00470,SUP_010,Ocean,6949,11.02,474,Low
SHP_00471,SUP_014,Air,5462,2.84,393,Standard
SHP_00472,SUP_026,Ocean,2513,15.95,873,Standard
SHP_00473,SUP_014,Air,7419,12.88,549,Low
SHP_00474,SUP_029,Ocean,1699,16.02,384,Critical
SHP_00475,SUP_017,Road,183,17.06,197,Low
SHP_00476,SUP_046,Ocean,4289,15.99,803,Low
SHP_00477,SUP_025,Air,6249,3.99,812,Critical
SHP_00478,SUP_049,Rail,1495,12.34,422,Critical
SHP_00479,SUP_029,Ocean,6944,10.59,603,Low
